slug,run_id,n_epochs,runtime_total_s,per_epoch_s_median,sat@0.05_train/recon_loss,sat@0.05_train/latent_pred_loss,sat@0.05_train/loop_closure_loss,sat@0.05_train/trajectory_loss,sat@0.05_train/total_loss,sat@0.05_trajectory val_loss,sat@0.05_mean val loss,best_traj_val,best_traj_val_epoch,best_traj_val_runtime_s,walltime_past_best_s,walltime_past_best_frac,first_traj_val_within_0.05_epoch
lorenz_current,aetnua64,103,10548.547666526,102.44521246099998,49,80,0,27,49,79,79,0.005649094004184008,102,10548.547666526,0.0,0.0,79
lorenz_current,6qmfcfgz,113,10567.507703535,93.77722185099992,50,80,0,27,49,98,98,0.005495918449014425,112,10567.507703535,0.0,0.0,98
lorenz_current,162o9jhn,107,10614.170802989,99.1424848074999,50,79,80,27,49,98,98,0.005572308786213398,102,10315.807899299,298.36290369000017,0.028109864560119928,98
lorenz_current,kubg9nfz,58,5309.064832774,91.4744332600003,38,42,53,26,38,52,52,0.007446702569723129,55,5217.324196315,91.74063645899969,0.017279999274573743,52
lorenz_current,mf9iub3g,115,10576.817844605,91.97890874900008,50,100,0,49,49,102,102,0.005618350580334663,114,10576.817844605,0.0,0.0,102
lorenz_current,hb1x9ww9,115,10578.816018776,89.90846906350043,53,100,38,27,84,102,102,0.006088986527174711,102,9404.964412072,1173.851606704,0.11096247487625917,102
lorenz_current,t7o9xise,105,10657.658480345,101.18659953149984,49,95,53,27,49,102,102,0.007549745962023735,102,10556.864795376,100.79368496900133,0.009457394901036323,102
lorenz_current,4vxtpkv8,105,10644.766559282,100.76775998699986,52,19,0,19,52,95,95,0.006216591689735651,95,9839.474784239,805.2917750429988,0.07565142650693474,95
lorenz_current,vlq2dc6z,107,10599.090254273,98.44694972300067,52,25,0,19,52,95,95,0.006015999708324671,99,10011.344173216,587.7460810569992,0.055452502710791676,95
lorenz_current,duyakwxg,113,10611.445555532,91.73146254450012,52,25,44,19,52,98,98,0.006183509714901447,112,10611.445555532,0.0,0.0,98
lorenz_current,rjitbsp3,111,10583.906785277,93.15474108900003,52,27,44,25,28,99,99,0.006482718512415886,99,9586.983725497,996.9230597799997,0.09419235070803851,99
lorenz_current,opy2khrt,109,10635.234359339,95.15671417299973,52,32,28,25,32,106,106,0.00727051543071866,106,10544.264419002,90.96994033699957,0.008553637584593248,106
lorenz_current,wor1xddq,96,9357.001730522,97.43085135000001,52,25,44,25,52,88,88,0.010159263387322426,88,8784.573105924,572.4286245980002,0.061176500879632306,88
lorenz_current,gjp24vat,112,10593.799748516,93.64015971300068,52,32,27,25,32,106,106,0.009499672800302505,106,10229.275042726,364.52470578999964,0.03440925016928539,106
lorenz_current,o3ntglqe,108,10631.649470424,98.21205737000037,57,23,0,9,23,103,103,0.005165980663150549,103,10352.316767864,279.33270255999923,0.02627369377979118,103
lorenz_current,6iru8a54,111,10620.118995681,91.33341184500023,57,21,0,17,23,103,103,0.00535417627543211,103,10070.761649903,549.3573457780003,0.05172798402743072,103
lorenz_current,sh2ww8vl,112,10602.172314598,92.03086139700099,57,23,110,17,23,87,87,0.00561951519921422,94,9128.828766809,1473.3435477889998,0.13896619523532658,87
lorenz_current,une3usxv,112,10620.144509783,93.50971459199991,78,21,24,17,30,87,87,0.005525527521967888,97,9408.853096025,1211.291413758001,0.11405601991970928,87
lorenz_current,rghd28hc,96,10632.770028651,110.3261854299999,44,23,53,17,23,85,85,0.007816847413778305,95,10632.770028651,0.0,0.0,85
lorenz_current,thvxa37g,105,10637.118749554,100.75749714199998,57,23,42,17,30,85,85,0.0059610940515995026,85,8852.835717596,1784.283031957999,0.16774119702600965,85
lorenz_current,451l25zs,111,10567.693973558,93.6621994205002,78,30,14,21,23,99,99,0.00754039641469717,103,9992.76563804,574.9283355179996,0.05440433238855695,99
