slug,run_id,n_val_epochs,total_rt_s,run_final_best,best_at_25pct_rt,epoch_at_25pct_rt,rel_excess_at_25pct_rt,best_at_50pct_rt,epoch_at_50pct_rt,rel_excess_at_50pct_rt,best_at_75pct_rt,epoch_at_75pct_rt,rel_excess_at_75pct_rt,best_at_90pct_rt,epoch_at_90pct_rt,rel_excess_at_90pct_rt,best_at_100pct_rt,epoch_at_100pct_rt,rel_excess_at_100pct_rt,rt_within_5pct_s,rt_within_5pct_frac,epoch_within_5pct,rt_within_10pct_s,rt_within_10pct_frac,epoch_within_10pct,rt_within_20pct_s,rt_within_20pct_frac,epoch_within_20pct
lorenz_current,aetnua64,103,10548.547666526,0.005649094004184008,0.01025702990591526,23.0,0.8156946756981527,0.007706166710704565,49.0,0.3641420562300759,0.0061857509426772594,75.0,0.09499876229635684,0.005899903364479542,90.0,0.04439815660878921,0.005649094004184008,102.0,0.0,8293.547909873,0.7862265187643932,79.0,7587.999984684,0.7193407305503497,72.0,5965.195903656,0.5654992603944449,56.0
lorenz_current,6qmfcfgz,113,10567.507703535,0.005495918449014425,0.009948231279850006,26.0,0.8101126085002239,0.006841565482318401,54.0,0.24484479633159206,0.005842344835400581,82.0,0.06303339279866504,0.005744911264628172,99.0,0.04530504190039397,0.005495918449014425,112.0,0.0,9345.540434358,0.884365613590399,98.0,7562.011182459,0.7155907896740294,79.0,6904.65606078,0.6533854769247325,72.0
lorenz_current,162o9jhn,105,10614.170802989,0.005572308786213398,0.01036372222006321,24.0,0.859861435838656,0.00764075480401516,51.0,0.37120089664078937,0.00650284718722105,78.0,0.166993330181185,0.005883893463760614,94.0,0.05591662083015159,0.005572308786213398,106.0,0.0,9919.196801922,0.9345239478460916,98.0,8034.547047255,0.7569641751942068,79.0,7836.209233286,0.7382780415667786,77.0
lorenz_current,kubg9nfz,56,5309.064832774,0.007446702569723129,0.02097736857831478,12.0,1.81700099901999,0.00976006593555212,27.0,0.310656071485208,0.009053993970155716,41.0,0.2158393443787492,0.008057061582803726,50.0,0.08196366208611572,0.007446702569723129,57.0,0.0,4942.148626647,0.9308887313144215,52.0,4667.048896908,0.8790717468917129,49.0,4667.048896908,0.8790717468917129,49.0
lorenz_current,mf9iub3g,115,10576.817844605,0.005618350580334663,0.020646821707487106,26.0,2.674890239095271,0.007896149531006813,55.0,0.4054212919081439,0.006666453555226326,84.0,0.18654994199903263,0.005997336469590664,101.0,0.06745500905239443,0.005618350580334663,114.0,0.0,9563.810427256,0.9042238003686796,102.0,9195.189734122,0.8693720426330553,98.0,7722.44691238,0.7301295177659742,82.0
lorenz_current,hb1x9ww9,115,10578.816018776,0.006088986527174711,0.019561106339097023,27.0,2.2125389425312743,0.010467384941875935,56.0,0.7190685009994264,0.006884138565510511,86.0,0.13058856917930317,0.006088986527174711,103.0,0.0,0.006088986527174711,114.0,0.0,9404.964412072,0.8890375251237408,102.0,8111.547633701,0.7667727295100014,88.0,7292.848370107,0.6893822859914718,79.0
lorenz_current,t7o9xise,105,10657.658480345,0.007549745962023735,0.019519207999110222,24.0,1.5854125552428564,0.012645043432712555,50.0,0.674896545700858,0.00951792299747467,76.0,0.2606944717545647,0.008658702485263348,92.0,0.14688660106152152,0.007549745962023735,104.0,0.0,10556.864795376,0.9905426050989636,102.0,10151.76697083,0.9525325839209454,98.0,8738.97526514,0.8199714112866853,84.0
lorenz_current,4vxtpkv8,86,10644.766559282,0.006216591689735651,0.01625387743115425,22.0,1.6145962679182193,0.009140633046627045,50.0,0.47036085090152246,0.00752339418977499,76.0,0.21021205272288168,0.006573975086212158,92.0,0.05748863916325564,0.006216591689735651,104.0,0.0,9839.474784239,0.9243485734930652,95.0,8433.42020006,0.7922597600514072,81.0,8332.261088041,0.7827565819915001,80.0
lorenz_current,vlq2dc6z,96,10599.090254273,0.006015999708324671,0.016517700627446175,24.0,1.7456285618813645,0.01070573553442955,50.0,0.7795438918681186,0.007577894721180201,78.0,0.25962351871364775,0.006801641080528498,94.0,0.13059198974306652,0.006015999708324671,106.0,0.0,9617.677776016,0.9074059702566127,95.0,9617.677776016,0.9074059702566127,95.0,8245.000369694,0.7778969866182662,81.0
lorenz_current,duyakwxg,108,10611.445555532,0.006183509714901447,0.01576489582657814,26.0,1.5495061143975901,0.009956751018762589,55.0,0.6102102976838744,0.007391857914626598,84.0,0.19541461976087637,0.006266537122428417,100.0,0.013427230061090478,0.006183509714901447,112.0,0.0,9328.087569371,0.8790590801748067,98.0,9328.087569371,0.8790590801748067,98.0,7247.513770091,0.6829902422024583,77.0
lorenz_current,rjitbsp3,111,10583.906785277,0.006482718512415886,0.013832051306962967,26.0,1.133680689740181,0.009710400365293026,54.0,0.4978901747307696,0.007859429344534874,83.0,0.2123662826763606,0.0070354510098695755,98.0,0.08526245531023458,0.006482718512415886,110.0,0.0,9586.983725497,0.9058076492919614,99.0,9482.584316916,0.8959436727189414,98.0,8440.807011589,0.7975133552131042,88.0
lorenz_current,opy2khrt,109,10635.234359339,0.00727051543071866,0.018870884552598,27.0,1.5955360018722482,0.011667810380458832,54.0,0.6048119960190383,0.00879338663071394,80.0,0.20945849224953084,0.008638056926429272,95.0,0.18809416041297577,0.00727051543071866,108.0,0.0,10544.264419002,0.9914463624154067,106.0,9825.117910256,0.9238271182645241,98.0,8038.191389124,0.7558076406718309,81.0
lorenz_current,wor1xddq,96,9357.001730522,0.010159263387322426,0.019023362547159195,23.0,0.8725139630593819,0.01579999178647995,47.0,0.555230057938698,0.012985280714929104,70.0,0.27817147955167876,0.011377987451851368,84.0,0.11996185334162779,0.010159263387322426,95.0,0.0,8784.573105924,0.9388234991203677,88.0,8784.573105924,0.9388234991203677,88.0,7296.863368201,0.7798292207640672,73.0
lorenz_current,gjp24vat,112,10593.799748516,0.009499672800302505,0.02308344654738903,25.0,1.4299201701614361,0.015837065875530243,53.0,0.66711698481088,0.01064941193908453,81.0,0.12102934100481999,0.01064941193908453,98.0,0.12102934100481999,0.009499672800302505,111.0,0.0,10229.275042726,0.9655907498307146,106.0,9574.89241468,0.9038204083498246,99.0,6783.598773367,0.6403367001832614,69.0
lorenz_current,o3ntglqe,102,10631.649470424,0.005165980663150549,0.011088700033724308,23.0,1.1464850058036613,0.00762393930926919,50.0,0.47579710540759534,0.005949660670012236,79.0,0.15170014329549342,0.005565060302615166,94.0,0.07725147759674966,0.005165980663150549,107.0,0.0,10352.316767864,0.9737263062202088,103.0,9400.042040067,0.884156505179823,93.0,7492.07088563,0.7046950622734564,74.0
lorenz_current,6iru8a54,108,10620.118995681,0.00535417627543211,0.01100420206785202,25.0,1.0552558417520395,0.007421961519867182,50.0,0.38620044205925796,0.005946136545389891,80.0,0.11056047457272156,0.0056562358513474464,97.0,0.056415695034425895,0.00535417627543211,110.0,0.0,10070.761649903,0.9482720159725693,103.0,8605.038219804,0.8102581735010226,87.0,6511.798702966,0.6131568493360785,64.0
lorenz_current,sh2ww8vl,111,10602.172314598,0.00561951519921422,0.0110414894297719,25.0,0.9648473290571111,0.008262773975729942,52.0,0.4703713190214933,0.006015721708536148,81.0,0.07050546092967758,0.00561951519921422,98.0,0.0,0.00561951519921422,111.0,0.0,8485.522493005,0.8003569684791286,87.0,7390.196500111,0.6970454998109709,75.0,6384.884213932,0.60222415034141,64.0
lorenz_current,une3usxv,112,10620.144509783,0.005525527521967888,0.011128540150821209,25.0,1.0140231148206889,0.008169549517333508,52.0,0.47851032953030437,0.006284838542342186,81.0,0.1374187382753047,0.005525527521967888,98.0,0.0,0.005525527521967888,111.0,0.0,8476.753177435,0.7981768204402904,87.0,8290.421428961,0.7806316968026265,85.0,6619.112931531,0.6232601567176083,67.0
