epoch,n_runs_with_data,spearman_to_final,top3_overlap
0,21,-0.535064935064935,0
1,17,-0.019607843137254905,0
2,16,-0.3029411764705882,0
3,16,0.2823529411764706,1
4,17,0.15441176470588236,1
5,17,0.4068627450980392,1
6,19,0.3403508771929824,1
7,21,0.24545454545454545,1
8,19,0.2421052631578947,1
9,21,0.487012987012987,1
10,18,0.7069143446852425,1
11,21,0.48441558441558447,1
12,20,0.5548872180451127,1
13,19,0.612280701754386,1
14,20,0.544360902255639,0
15,19,0.5298245614035089,1
16,21,0.49610389610389616,0
17,20,0.4947368421052631,0
18,20,0.5278195488721804,1
19,20,0.6150375939849623,1
20,20,0.6406015037593984,1
21,19,0.6403508771929824,2
22,21,0.6181818181818182,1
23,20,0.6090225563909774,1
24,21,0.6974025974025975,1
25,21,0.6064935064935064,1
26,21,0.6116883116883116,1
27,21,0.6077922077922078,1
28,20,0.6210526315789473,1
29,21,0.574025974025974,1
30,21,0.7441558441558441,1
31,21,0.7441558441558441,1
32,21,0.751948051948052,1
33,21,0.6883116883116883,1
34,20,0.724812030075188,1
35,21,0.764935064935065,2
36,21,0.751948051948052,2
37,21,0.751948051948052,2
38,21,0.7987012987012986,2
39,21,0.7987012987012986,2
40,21,0.8,2
41,21,0.7857142857142857,2
42,21,0.7987012987012986,2
43,21,0.8012987012987013,2
44,21,0.8181818181818182,2
45,21,0.7844155844155845,2
46,21,0.7766233766233767,2
47,20,0.8676691729323308,2
48,21,0.857142857142857,2
49,21,0.8207792207792207,2
50,21,0.8363636363636363,2
51,21,0.8493506493506494,2
52,21,0.8129870129870129,1
53,21,0.8311688311688311,1
54,21,0.8324675324675326,1
55,21,0.8272727272727272,1
56,20,0.8721804511278194,1
57,21,0.8207792207792207,1
58,20,0.9127819548872179,2
59,20,0.9203007518796992,2
60,20,0.9233082706766916,2
61,19,0.9350877192982456,2
62,20,0.9248120300751879,2
63,20,0.9248120300751879,2
64,20,0.9428571428571428,3
65,20,0.9473684210526315,3
66,20,0.9503759398496241,2
67,19,0.9631578947368421,2
68,20,0.9609022556390976,2
69,20,0.9609022556390976,2
70,20,0.9654135338345864,2
71,20,0.9654135338345864,2
72,20,0.9578947368421054,2
73,20,0.9443609022556391,2
74,20,0.9578947368421054,3
75,20,0.9473684210526315,2
76,20,0.9473684210526315,2
77,20,0.9473684210526315,2
78,20,0.9473684210526315,2
79,20,0.9203007518796992,2
80,20,0.918796992481203,2
81,20,0.8962406015037594,2
82,20,0.9248120300751879,2
83,19,0.9210526315789472,2
84,20,0.9248120300751879,2
85,20,0.9413533834586465,2
86,20,0.9413533834586465,2
87,20,0.9263157894736842,1
88,20,0.9248120300751879,1
89,20,0.9248120300751879,1
90,20,0.9248120300751879,1
91,20,0.9248120300751879,1
92,20,0.9353383458646616,1
93,20,0.9503759398496241,1
94,20,0.9458646616541352,1
95,20,0.932330827067669,1
96,18,0.9215686274509803,1
97,18,0.9215686274509803,1
98,18,0.9256965944272446,1
99,18,0.9195046439628484,1
100,18,0.9256965944272446,1
101,18,0.9256965944272446,1
102,18,0.9360165118679051,1
103,17,0.9803921568627453,2
104,17,0.9803921568627453,2
105,14,0.9780219780219781,2
106,14,0.9824175824175824,2
107,12,0.9860139860139862,2
108,11,0.9818181818181818,2
109,10,0.9757575757575757,2
110,10,0.9757575757575757,2
111,7,0.9285714285714288,1
