K,n_runs,n_finished_at_K,top1_in_top33pct@K,top3_in_top33pct@K,top1_in_top50pct@K,top3_in_top50pct@K,top1_in_top67pct@K,top3_in_top67pct@K,spearman,project,group,n_runs_total
50,27,25,1,3,1,3,1,3,0.884004884004884,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_mse_uniform_p30_obsnoise005_top3nd_init15_autodim__lc_sweep,34
5,5,5,0,1,1,2,1,3,0.49999999999999994,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise001_nd75_init15_autodim__lc_sweep,5
10,5,5,0,2,0,2,0,2,0.0,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise001_nd75_init15_autodim__lc_sweep,5
15,5,5,1,2,1,2,1,3,0.7999999999999999,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise001_nd75_init15_autodim__lc_sweep,5
20,5,5,0,1,1,2,1,3,0.19999999999999998,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise001_nd75_init15_autodim__lc_sweep,5
30,5,5,0,1,0,2,1,3,0.3,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise001_nd75_init15_autodim__lc_sweep,5
50,5,5,1,1,1,1,1,2,0.09999999999999999,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise001_nd75_init15_autodim__lc_sweep,5
5,5,5,0,1,0,2,1,3,0.0,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise005_nd75_init15_autodim__lc_sweep,5
10,5,4,1,2,1,2,1,3,0.49999999999999994,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise005_nd75_init15_autodim__lc_sweep,5
15,5,4,1,1,1,2,1,3,0.39999999999999997,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise005_nd75_init15_autodim__lc_sweep,5
20,5,5,0,1,0,2,1,3,-0.19999999999999998,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise005_nd75_init15_autodim__lc_sweep,5
30,5,5,0,2,1,3,1,3,0.49999999999999994,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise005_nd75_init15_autodim__lc_sweep,5
50,5,5,1,1,1,2,1,3,0.39999999999999997,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise005_nd75_init15_autodim__lc_sweep,5
5,17,15,1,1,1,2,1,3,0.07843137254901962,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_mse_mostrecent_p30_obsnoise001_init15_autodim__ndelays_sweep,18
10,17,15,1,2,1,2,1,3,0.41421568627450983,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_mse_mostrecent_p30_obsnoise001_init15_autodim__ndelays_sweep,18
15,17,16,0,2,1,3,1,3,0.5465686274509804,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_mse_mostrecent_p30_obsnoise001_init15_autodim__ndelays_sweep,18
20,17,16,1,2,1,3,1,3,0.5882352941176471,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_mse_mostrecent_p30_obsnoise001_init15_autodim__ndelays_sweep,18
30,17,13,1,2,1,3,1,3,0.7377450980392158,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_mse_mostrecent_p30_obsnoise001_init15_autodim__ndelays_sweep,18
50,17,13,1,3,1,3,1,3,0.9093137254901962,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_mse_mostrecent_p30_obsnoise001_init15_autodim__ndelays_sweep,18
5,5,5,1,1,1,2,1,3,0.6,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise001_nd75_init15_pcainit_autodim__lc_sweep,5
10,5,5,1,1,1,2,1,3,0.7,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise001_nd75_init15_pcainit_autodim__lc_sweep,5
15,5,5,1,2,1,2,1,3,0.8999999999999998,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise001_nd75_init15_pcainit_autodim__lc_sweep,5
20,5,5,1,2,1,2,1,3,0.8999999999999998,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise001_nd75_init15_pcainit_autodim__lc_sweep,5
30,5,5,1,1,1,2,1,3,0.39999999999999997,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise001_nd75_init15_pcainit_autodim__lc_sweep,5
50,5,5,1,1,1,2,1,3,0.7,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise001_nd75_init15_pcainit_autodim__lc_sweep,5
5,5,5,0,1,0,1,0,2,-0.7,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise005_nd75_init15_pcainit_autodim__lc_sweep,5
10,5,5,1,2,1,3,1,3,0.8999999999999998,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise005_nd75_init15_pcainit_autodim__lc_sweep,5
15,5,5,0,1,0,2,1,3,0.09999999999999999,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise005_nd75_init15_pcainit_autodim__lc_sweep,5
20,5,5,1,1,1,2,1,3,0.7,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise005_nd75_init15_pcainit_autodim__lc_sweep,5
30,5,5,1,2,1,3,1,3,0.9999999999999999,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise005_nd75_init15_pcainit_autodim__lc_sweep,5
50,5,5,1,2,1,3,1,3,0.9999999999999999,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise005_nd75_init15_pcainit_autodim__lc_sweep,5
5,24,24,1,3,1,3,1,3,0.9979338842975207,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_encoderonly_nd75_init15_pcainit_autodim__kl_sweep_obsnoise001,24
10,24,24,0,0,0,1,1,3,0.9039256198347108,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_encoderonly_nd75_init15_pcainit_autodim__kl_sweep_obsnoise001,24
15,24,24,0,0,0,1,1,3,0.9039256198347108,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_encoderonly_nd75_init15_pcainit_autodim__kl_sweep_obsnoise001,24
20,24,24,1,3,1,3,1,3,0.9979338842975207,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_encoderonly_nd75_init15_pcainit_autodim__kl_sweep_obsnoise001,24
30,24,22,1,3,1,3,1,3,0.9969008264462809,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_encoderonly_nd75_init15_pcainit_autodim__kl_sweep_obsnoise001,24
50,24,8,1,3,1,3,1,3,0.9969008264462809,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_encoderonly_nd75_init15_pcainit_autodim__kl_sweep_obsnoise001,24
5,24,24,1,3,1,3,1,3,0.8289049175362346,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_encoderonly_nd75_init15_pcainit_autodim__kl_sweep_obsnoise005,24
10,24,24,1,3,1,3,1,3,0.8298982128238753,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_encoderonly_nd75_init15_pcainit_autodim__kl_sweep_obsnoise005,24
15,24,24,1,3,1,3,1,3,0.8301886792452831,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_encoderonly_nd75_init15_pcainit_autodim__kl_sweep_obsnoise005,24
20,24,24,1,3,1,3,1,3,0.9960278053624627,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_encoderonly_nd75_init15_pcainit_autodim__kl_sweep_obsnoise005,24
30,24,6,1,3,1,3,1,3,0.9980139026812312,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_encoderonly_nd75_init15_pcainit_autodim__kl_sweep_obsnoise005,24
50,24,5,1,3,1,3,1,3,0.9990069513406157,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_encoderonly_nd75_init15_pcainit_autodim__kl_sweep_obsnoise005,24
5,40,25,1,1,1,1,1,2,0.7726078799249533,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise001_top3nd_init15_autodim__lc_obsnoisescale_sweep,40
10,40,17,1,2,1,2,1,2,0.8859287054409005,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise001_top3nd_init15_autodim__lc_obsnoisescale_sweep,40
15,40,11,1,2,1,2,1,2,0.9170731707317074,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise001_top3nd_init15_autodim__lc_obsnoisescale_sweep,40
